row,invar,keep
1,bd,1
2,clay,1
3,DEM,0
4,distToNon,0
5,eastness,1
6,GDD0,0
7,GDD5,1
8,hab_non,0
9,hab_nonpch,0
10,nlcd.Cropland,1
11,nlcd.Developed,1
12,nlcd.DevelOpen,1
13,nlcd.Forest,1
14,nlcd.Grassland,1
15,nlcd.Other,1
16,nlcd.PastureHay,1
17,nlcd.Shrubland,0
18,nlcd.Water,1
19,nlcd.Wetland,1
20,nlcd_patch,0
21,northness,1
22,om,1
23,PET,0
24,ph,1
25,ppt_sf,1
26,ppt_ws,1
27,ppt_yrly,0
28,sand,1
29,slope,0
30,tmax,0
31,TRI,1
32,TWI,1
